編號,案類,發生(現)日期,發生時段,地點,icon
47,住宅竊盜,1040127,10~12,台北市文山區景興路238巷1-30號,ylw_stars
48,住宅竊盜,1040127,13~15,台北市南港區東明里興華路64巷1-30號,ylw_stars
49,住宅竊盜,1040127,16~18,台北市大安區錦泰里15鄰金山南路二段121-150號,ylw_stars
50,住宅竊盜,1040128,13~15,台北市內湖區東湖里康樂街48巷1-30號,ylw_stars
51,住宅竊盜,1040129,13~15,台北市松山區延壽街121-150號,ylw_stars
52,住宅竊盜,1040129,13~15,台北市信義區富台里忠孝東路五段423巷5弄1-30號,ylw_stars
53,住宅竊盜,1040130,13~15,台北市信義區廣居里忠孝東路五段372巷27弄61-90號,ylw_stars
54,住宅竊盜,1040201,10~12,台北市松山區敦化北路199巷100弄1-30號,ylw_stars
55,住宅竊盜,1040201,10~12,台北市北投區雙全街62巷1-30號,ylw_stars
56,住宅竊盜,1040201,19~21,台北市信義區信義路六段15巷1-30號,ylw_stars
57,住宅竊盜,1040201,22~24,台北市北投區中心里中和街31-60號,ylw_stars
58,住宅竊盜,1040202,07~09,台北市中正區網溪里廈門街91-120號,ylw_stars
59,住宅竊盜,1040202,19~21,台北市北投區中心里中和街31-60號,ylw_stars
60,住宅竊盜,1040204,16~18,台北市中山區農安街125巷1-30號,ylw_stars
61,住宅竊盜,1040205,01~03,台北市士林區百齡里福港街211-240號,ylw_stars
62,住宅竊盜,1040205,04~06,台北市內湖區樂康里康樂街111巷31-60號,ylw_stars
63,住宅竊盜,1040205,13~15,台北市萬華區大理街170巷1-30號,ylw_stars
64,住宅竊盜,1040207,22~24,台北市中正區三愛里新生南路一段121-150號,ylw_stars
65,住宅竊盜,1040208,04~06,台北市大安區新龍里信義路三段134巷61-90號,ylw_stars
66,住宅竊盜,1040209,01~03,台北市文山區忠順里忠順街二段1-30號,ylw_stars
67,住宅竊盜,1040210,01~03,台北市北投區大同路200巷1-30號,ylw_stars
68,住宅竊盜,1040211,16~18,台北市內湖區葫洲里民權東路六段296巷31-60號,ylw_stars
69,住宅竊盜,1040212,19~21,台北市文山區興安里22鄰景華街176巷1-30號,ylw_stars
70,住宅竊盜,1040212,22~24,台北市萬華區萬大路493巷48弄1-30號,ylw_stars
71,住宅竊盜,1040213,04~06,台北市中山區八德路二段210巷1-30號,ylw_stars
72,住宅竊盜,1040213,07~09,台北市中山區農安街1-30號,ylw_stars
73,住宅竊盜,1040215,07~09,台北市中山區長安東路二段1-30號,ylw_stars
74,住宅竊盜,1040215,07~09,台北市大安區法治里通化街173巷1-30號,ylw_stars
75,住宅竊盜,1040215,22~24,台北市信義區和平東路三段661-690號,ylw_stars
76,住宅竊盜,1040216,10~12,台北市中正區文盛里羅斯福路三段210巷8弄1-30號,ylw_stars
77,住宅竊盜,1040216,13~15,台北市內湖區新明路246巷3弄1-30號,ylw_stars
